,HLA-DRB1,IL7,IFITM3,P2RY14,C1S,MT2A,GZMA,CD38,HLA-DQA1,IRF8,HLA-DMA,CD274,IRF4,NOD1,PELI1,GPR18,RSAD2,TRIM25,HERC6,GBP4,FGL2,STAT1,IFIT3,IFIH1,CMTR1,IFI44L,TRAFD1,IFI30,IRF1,STAT2,MX1,SLAMF7,LAP3,SLC25A28,OAS2,JAK2,TXNIP,EPSTI1,HLA-B,HELZ2,OGFR,ICAM1,OAS3,CD74,NFKB1,ST3GAL5,IRF9,TAPBP,TAP1,IFIT1,IRF2,ISG20,DHX58,RBCK1,HLA-G,PSMB8,CCL5,CASP3,APOL6,RNF213,ADAR,SP110,IFIT2,PARP12,DDX60,MX2,EIF2AK2,MYD88,RNF31,PTPN1,MTHFD2,PIM1,PTPN2,IL2RB,PML,UPP1,NLRC5,PARP9,CCRL2,CSF1,TRIM5,UBA7,OAS1,TENT5A,IL21,EOMES,GZMB,IFNG,CCL4,GNLY,IL17F,LAG3
CD1,-0.1841028978207224,-0.07036293761045789,0.5543901671489346,-0.14611246099973718,0.8297324870382152,-0.14347634958401104,-0.35920857566993286,-0.1843014576396477,-0.08272566411167584,-0.1410523301916349,0.18511130510914756,0.2806718094684302,-0.15264559587021923,-0.24401522867945197,0.19493481746017785,-0.056825412794262786,-0.0022999547135075194,0.2785662507715058,0.262525009370006,0.15100951071136007,0.5800812330775401,-0.05849593455303555,-0.1591893357459543,-0.08904624340694116,-0.12917121407873022,-0.10039651558392736,-0.2113385048124033,-0.06225915214816237,-0.2584038388564042,0.19023174024310635,-0.033344872005502145,-0.2843309329970654,-0.002731194815165705,0.3048341969695409,-0.022352247539287797,0.07954540167570047,0.0008187264751280687,-0.2315472005748599,0.007434203369315871,0.3265166552576677,0.02667225470267334,-0.27290402931454244,0.3582538507798738,0.18437566668620994,-0.25175134253128617,0.13496868828440084,-0.2209561470772354,0.057381017844312585,0.014432851162398973,0.13033099326402645,0.37801680913198127,-0.08562929561451466,-0.0668531492487758,0.059629081230836024,-0.11315400276060503,-0.00035102196995248424,-0.28377639292423035,0.1946797859505698,-0.08043264234563474,0.13682153607788,0.5794288696880986,0.1991679831459153,-0.03019724457369381,0.02623584833674188,0.4686080113693641,0.18795240983530756,0.1569547157155397,0.13792999681688686,0.2806484593777331,0.1450794705527472,-0.21009281858887133,0.10752434209623453,0.3225740881631079,-0.05568481089093359,0.15403610257146932,-0.086363150987626,-0.187069893599936,-0.020216865070939675,-0.15282170732006833,-0.15446856311523097,-0.26482406295391886,-0.05155261734523634,-0.17704541095791881,0.43794985168234474,-0.10227097193994991,-0.10855030522376827,-0.13080545612506783,-0.17588791038360505,-0.09595286466841674,-0.08502328467495888,0.05329837235668416,-0.2453200857133955
CD2,0.9364812939133732,-0.07036293761045789,0.18075860064837196,-0.040036748559521065,0.08710091537280089,-0.20804392219089723,0.39364948749353473,-0.11784100193344395,0.23235951289181406,0.36579498191714643,0.2176440997351474,-0.1727277243729609,0.15185672905434477,-0.1283162588633759,0.03552117988251531,-0.14839996184798304,0.028487203424803213,-0.007358065865941625,0.0060570214212034654,-0.1980358823192123,0.08921582783950896,-0.2046788139364759,0.16114036832508033,0.16702829855853904,0.09458194805097148,-0.038539504032588864,0.05961653933480023,-0.09534373700233818,0.14649337632741133,0.034343259894835054,-0.08439608785690687,0.32012012624099667,0.05562426726153719,0.21948819641729342,-0.03422234947188844,0.10923134867100827,0.12721934179123992,-0.17285537372491663,0.16569333488255064,-0.0733567264335347,0.03492636485303606,-0.095360400600809,-0.05119276270236638,0.24169444755024383,0.40654424669553824,0.24573164204258943,-0.03844061031730377,0.0912359010140864,0.17571475486416666,0.1673084366047133,-0.030626267055813353,0.2573546858969341,0.016794455405990595,0.018284152932890433,0.2217310689745775,-0.028313159480630193,0.0403335237397487,0.11164590902500521,0.032915534652116066,0.17033646487297974,0.06957894820610916,0.005965595165800336,-0.1558397006283555,-0.02614059584882181,0.0426240991818586,-0.04683623919363519,0.06069198442100106,0.1190954679158099,0.10366882650668079,0.058010640844382184,0.12578428506346145,0.15847081556501347,-0.12182048553135098,0.19694187604096497,0.03456937915238727,0.05141824113286183,0.1954589902334621,-0.2868360270395892,-0.05487705665460299,0.17847435484318935,-0.00019574102959566374,0.20192864237378355,-0.11243006967522086,-0.03568625565882529,0.3201894908299815,0.16202310916310514,-0.044867451871471814,0.09733868805183275,-0.04701124813351489,-0.08502328467495888,0.053451698258064076,0.011418101892609903
CD3,0.6122105247282008,0.14390010361529654,-0.1445345462608332,0.2561112330629056,0.14542307528677473,0.1762125159620137,0.16769179891419952,-0.1843014576396477,-0.08272566411167584,-0.0702718077405739,0.24075120903247457,0.5053233065948122,0.02089629055589669,0.08592924192289382,-0.18548722690857167,0.040235505751335714,-0.11207567273724482,0.13348368914424616,0.13483467402475047,-0.15366165015141156,-0.04200586792221497,0.247872192157628,-0.1591893357459543,-0.15258879578896967,0.02638045223009347,0.1030911435260587,0.052488476493827235,-0.22411326855139083,0.1589079108193597,0.07995856585496659,-0.05701637058440171,0.21952650184400074,-0.024400167161247616,0.03168521804232351,0.09146352251094832,-0.009669217961850067,0.7285006969185249,0.21743022523108327,-0.1397486073505451,-0.0014052642491036314,0.23799253393009698,-0.0855641199452966,-0.09075378332517292,-0.17151426945367876,0.08809457712702642,-0.18227110190851895,0.002025339704324316,0.03747304027972699,-0.05159292580454037,-0.13561310114056133,0.03973738362056928,-0.044666658005945555,0.09426412447097968,0.04105578311640677,0.0072115618903282564,0.019428664272095556,0.08734125052965405,0.0933506262771788,0.11542695613523461,0.060123791061751475,0.1189890796202382,0.16817096887647243,0.22682104243810414,-0.10228738993952177,-0.11455640361895097,0.0641379737122165,-0.055230785170236746,-0.04837406747431967,0.17216869430533382,0.21141861078648902,-0.1622920040816789,0.1840062317188998,0.08629863305818074,-0.13677981146779655,0.13383719737223831,-0.19571199688515098,-0.14214951889321192,-0.06848001964171757,0.24143859315718105,0.14606316203128675,0.005605733442959895,0.10971645399616604,-0.06858030587537424,-0.06961291008060203,-0.10227097193994991,-0.10855030522376825,-0.13080545612506783,0.02671617516279997,-0.178477051283348,0.10096459886297789,-0.10443002081720475,-0.05620980103370808
CD4,-0.2812760334372818,-0.07036293761045789,-0.1445345462608332,-0.14611246099973718,-0.13592656969516287,0.9104454412966652,0.1953408998793751,-0.1843014576396477,-0.08272566411167584,-0.1410523301916349,-0.21825542627546426,-0.1727277243729609,-0.3297418925766873,-0.244015228679452,0.4776907427488757,0.3714826519740571,-0.20109773432864705,-0.2637052941574585,-0.3325680354410242,-0.020025582298668576,-0.1490328670482929,0.2714346470231172,-0.1591893357459543,-0.30705349310481544,0.2933236071053701,-0.3850981516000067,0.1765322825507061,-0.22411326855139083,0.02495824831656679,0.16625722886582828,0.3575608556570679,0.8310686585713167,-0.4294349641465159,0.9458960579831031,0.2803729209666897,1.6741955833956939,0.7174976317858404,-0.3320212416523501,0.4784549542836412,-0.17467316048328055,-0.5087412124793477,0.29023297751629223,0.690372079449136,-0.20505371813585327,0.7677270609202763,0.37188801373687413,0.4486255657514302,0.177455111395054,-0.5760761282891029,-0.13561310114056133,0.9452450533158556,0.5996229121858357,-0.2528022944859865,-0.017461134176890436,-0.11315400276060501,-0.7512253336328061,1.6058709705559366,0.6878471921433004,-0.13032012921421532,0.7601827012080317,1.352863113777496,0.8433100534072714,-0.21536735340914262,-0.31036406084561036,0.06757632971665768,-0.5100296938672728,0.47303690635356155,0.1496087845849404,-0.27758307820844225,0.4498513725186588,0.149486198777636,0.26052620123008097,0.2886150307733425,0.39187614338559146,-0.38937500261273755,0.04923667203818005,0.2739639233534193,-0.39787566652011036,-0.15282170732006833,0.20866966799857264,-0.378630261705118,0.2285107889750577,-0.3057669707163868,1.0315950914416023,-0.1022709719399499,-0.10855030522376825,-0.13080545612506783,-0.17588791038360505,-0.2068682666203369,-0.08502328467495888,-0.10443002081720475,1.4041593452046728
CD5,-0.1409477278711702,-0.07036293761045789,0.17766308869136488,0.23416061825854456,-0.13592656969516287,0.5568756867000335,0.061631761020749826,-0.1843014576396477,-0.08272566411167584,0.4927634404453422,-0.21825542627546426,-0.1727277243729609,-0.3297418925766873,-0.08606191575174912,-0.028983489087968824,0.04625361361558157,-0.022639178329164872,0.5419288324102716,0.4614982747270956,-0.056223043442694076,-0.1490328670482929,-0.3306715681491637,0.47526104020237375,0.3738832197552684,-0.142510150001817,-0.16935212648221037,-0.20853176725718695,-0.06703593671791234,-0.33003848071912245,0.04914577210201879,0.3393191033984849,0.2920021863568209,-0.16662872139104612,-0.11574586805666941,0.13393763522642033,0.22694542771652237,0.44547639745632134,-0.17285642149299252,-1.4294475334671832,0.300330862887875,-0.10832399012749425,-0.10077097396701043,-0.13274172023474007,-0.1479729522701887,-0.6002546892839052,0.011161878305967599,-0.3565194820867062,0.12167079527797806,0.05657242729104241,-0.13561310114056133,0.14947031640685837,-0.2637009542379241,0.20263931615092395,0.045044930487030996,-0.11315400276060503,0.19420559094777867,0.5853045087657112,0.3381707585647181,-0.030643929606900842,0.2166676477467538,-0.009693933984673449,0.5511491296813336,0.5753692678766865,-0.033872669387129864,0.36638073510609526,0.3177217674060389,-0.07352643448099902,-0.02507030913133148,-0.27758307820844225,0.10988941369113349,0.2148826810602299,-0.2404529118311068,0.22728277824387244,0.06924826753822899,0.44245017077124593,0.23609193953666072,-0.042893552423204404,0.03866469528901532,-0.15282170732006833,-0.167890729238508,-0.04675792344120587,0.12171162634021115,-0.1809193521489053,-0.14565633100458938,-0.1022709719399499,-0.10855030522376827,-0.13080545612506783,0.24926433474566145,-0.03776112365020448,-0.08502328467495888,-0.10443002081720475,0.15700631750867872
CD6,-0.2051203036574875,0.5793378970740878,0.5521236335798498,1.0153043067070657,0.021441413981046303,1.254692869485749,1.1879829084161952,0.8276356991691877,-0.08272566411167584,-0.1410523301916349,-0.10965915795447033,0.2724393910271216,0.77671493388965,0.1061950503713094,0.7231803170258089,0.5571213155016156,0.6535611390648566,0.15583934986669604,0.2542799581644013,1.1699213042215515,-0.1490328670482929,0.728703367984545,0.1675227375332725,0.4687273984502707,0.10617210679922469,0.34310963941234185,0.41869394550494704,0.008543393780662698,0.6212483167812608,0.5415851008583038,0.6906954770936062,-0.1900654045639952,0.2892557183861996,0.216090727266387,0.25154310715522044,0.24505368562074126,0.16348981355032308,0.6576726194461571,0.6475294207788271,0.18587257982979669,0.18368533899423548,0.2439259622072593,0.30175431925133994,0.7392823577590589,0.3869297153137088,0.21691634788402486,0.8535717958045472,0.250062339114502,0.5014975592660704,0.29071409239049056,0.2378387238665118,0.6672960271237931,0.4376872333520407,0.412708568194983,-0.11315400276060503,0.5021237130772299,-0.1881612594551034,0.11098497748396567,0.5468747980482365,0.3889955852281199,-0.01636919466016164,0.176785138767591,0.11887701750928516,0.17352943260304243,0.13407004090905053,0.10331418649838699,0.03649983821772231,0.295048416034886,-0.0022073379872373554,0.09587810246958581,0.4627174904164481,0.8411600528902864,0.2937586336912171,0.5433703924214938,-0.21562431040551513,0.6701429271570917,0.09178057001014688,0.8507020698087655,0.04978503934424301,0.5095700768975077,0.054210122142565396,0.002552023325961294,0.2132536492757849,0.21768810224644047,0.41665953802839845,0.7312540634671507,1.7589905701228752,0.45743756397377705,0.11708677739943645,0.5958136014126293,0.19421570728917556,0.4188520818187088
CD7,0.07912184460578334,-0.07036293761045789,-0.1445345462608332,-0.026771018978104667,-0.13592656969516287,0.9279236573984346,0.0727979344458097,0.7035997047403032,-0.08272566411167584,0.05859321296201168,0.4525660891739589,-0.07730255497403621,0.46856666281606746,0.5708234938354745,-0.01833942338802733,0.24076501575951334,0.39048872525473677,0.3030530266828349,0.35431551474132056,0.1798329441931992,-0.1490328670482929,0.4948112367646568,0.24325599225610084,0.3384268840388507,-0.04257738814357057,0.9118574955795536,0.21166803325449018,0.3122702626655676,0.5608271895660449,0.09674377424031462,0.2635141532289576,0.21349460232417977,0.6042453174888361,0.2308325982272182,0.41832338269842756,0.27525328473420685,0.2601950625024976,-0.0484849354293682,0.8678323970285449,-0.17467316048328055,0.1913536911706471,0.6938955374274081,-0.026309288713810195,0.04149297224309718,-0.21170964408628284,0.11948965106579171,0.24438424437079995,0.6448296587981587,0.1649203251230404,-0.13561310114056133,0.17875026548829032,0.14724424649053672,0.04091648411320561,0.16576855463941373,-0.11315400276060503,0.560635219640633,0.3918993290121353,0.09382227496993296,0.24573757237822114,0.2329782783609462,0.10026430565078691,-0.06130992202561834,-0.10762029819980642,0.26580130311602423,-0.07496102844130793,0.2490926396473686,0.34729554054857387,0.13678189865771576,0.03594503213865467,0.05072655573087946,-0.13962849782931425,0.022833422513594753,0.10163973617035223,-0.13914372860952878,0.2922822759661952,0.07401021089733964,0.3815725308692785,0.48114655652175875,0.5802126113477447,-0.2891880509980724,0.47410669742873746,0.07998341234963907,0.5042528542256162,0.05473011977594384,-0.1022709719399499,-0.10855030522376827,-0.13080545612506783,-0.04649378383178965,-0.060640852179217594,-0.08502328467495888,0.20176482829846815,0.011802975394003469
CD8,-0.2812760334372818,-0.07036293761045789,-0.1445345462608332,-0.14611246099973718,-0.13592656969516287,-0.1393286332655473,-0.2825151024600029,-0.1843014576396477,-0.08272566411167584,-0.1410523301916349,-0.2182554262754643,0.3928553822571411,-0.3297418925766873,-0.24401522867945197,0.2293904004213874,0.5739392090951874,-0.20109773432864705,-0.2637052941574585,-7.667675455487359e-05,0.23473581701095256,0.47239128523293983,0.39144636164261726,-0.1591893357459543,0.2996620360995645,-0.2764303778280675,-0.14778498384250544,0.5079596454455343,0.6683566761873249,0.29630050144678804,-0.3278431722311232,0.17868576934526426,0.3444213038210977,0.08101306482041346,-0.42804473556958933,0.1992359650853014,-0.14005044216997026,-0.4859479086416184,0.4860544793595412,1.6326661543187937,-0.17467316048328055,-0.20977879906068533,0.023216564214752617,0.08445850612522326,0.29070029629117555,0.07592274740729922,-0.35993818275601025,0.19696306893441123,0.22864184980921998,0.19665005765056773,-0.13561310114056133,0.6187709924288852,-0.0950194217356198,-0.2528022944859865,-0.40999979110501916,-0.11315400276060503,0.033791327284950684,0.8099331927042488,-0.10954843148730814,-0.284533976604422,0.23517065655391362,0.05451739399691808,-0.30851013410375033,-0.21536735340914262,-0.001997486457627471,0.37825592552132786,-0.14705223084601649,-0.29803145043804724,-0.25081576944946227,0.049819221035809796,0.18769139048153127,0.15925470771323752,-0.4908008017050224,0.2592435225494071,0.8701324498234732,-0.38937500261273755,-0.21075703545569432,-0.11851234884831473,0.42016888811328273,0.28210193151196716,-0.2891880509980724,0.1237581797470981,0.013799729078478408,-0.03631036238290175,-0.14565633100458938,-0.10227097193994991,-0.10855030522376827,-0.13080545612506783,-0.17588791038360505,0.31824897332871227,-0.08502328467495888,-0.10443002081720475,0.5898011774428278
CD9,0.1445342444191513,-0.07036293761045789,0.29322223857301827,-0.14611246099973718,-0.13592656969516287,-0.39100430136054626,0.9582406215261221,0.08240086750582142,0.5103758455419521,-0.1410523301916349,0.19836002732753366,0.18998965771974127,0.12387610222579226,0.9844293299971113,-0.36142343418957884,-0.24007939045065296,0.19019242071759265,-0.2637052941574585,0.07082682369166149,0.47620641499565186,0.2693593588790234,1.0835505734991202,0.12811565814621237,-0.15513645844398644,0.72934247632872,0.02099199421608408,0.5415766111156474,0.7328196190192839,0.08128347768430699,0.34330283001788425,0.45824038507598513,-0.2843309329970654,0.14837500232391254,-0.07310610281777843,0.4980174195385019,-0.3703583562141029,0.41404124446385004,0.04029567194273695,1.5526175308095702,0.48903932294210495,0.3071744704120323,0.15663707636965302,0.1961304012385294,0.5812275999958584,0.19114050383081474,0.36367260064033297,0.46587983050099996,-0.06297883171903972,0.29948738502126854,0.23274405117270688,0.07979246915685924,0.283298684533959,-0.2528022944859865,0.7380573636518603,0.4299755687101035,0.5018538313266425,0.7273246573339659,-0.13190701864995244,0.17485923982729715,0.20578698723074615,0.48745560343919037,0.32958557174902814,-0.00332068784658908,0.24166644853785554,0.1360087719606802,0.20723211764745061,0.25647086622323584,0.021278234816033016,-0.01631061431210235,6.256046214990566e-05,0.3125133283594618,-0.30023388344546964,-0.003982901166762868,0.03648363796884804,0.2697580177384473,0.03972078708495515,0.13845688382621849,0.8436976066803252,-0.15282170732006833,0.6720195760821683,0.7836471603641946,0.6316753143414567,0.4222404631562192,-0.14565633100458938,0.4919802617035766,-0.10855030522376827,-0.13080545612506783,-0.17588791038360505,1.8566913752968421,-0.08502328467495888,-0.10443002081720475,0.4725003426074758
CD10,-0.2812760334372818,-0.07036293761045789,-0.1445345462608332,-0.14611246099973718,0.8130567093076887,0.663211848340382,0.11580247579204352,0.4383258423243812,-0.08272566411167584,0.751231736531736,-0.21825542627546426,-0.1727277243729609,0.6923339619896292,1.002825714689587,2.1563753098263017,1.3311195088849619,-0.20109773432864705,0.7785390561776482,0.22760555183094908,1.3648187945484547,-0.1490328670482929,1.116540569625097,-0.1591893357459543,0.07257179177504358,1.8099249146113063,0.5406011053290023,-0.3185760661197847,0.735506363601404,0.554927385992747,0.04523133295091779,-0.41759585756858847,-0.2843309329970654,-0.11261225707507289,0.17802376752743704,-0.1536776428806912,0.31078957388493345,-0.6700366296243648,1.1117341329809989,1.6153761291985331,-0.17467316048328055,0.7672551640391265,0.1522971235416063,0.8614295007267112,0.9227809940395696,0.9253541817807722,0.06254541984080567,0.73079536302163,0.7995383470213103,1.1389933429976513,-0.13561310114056133,-0.42878750085101136,0.3746634561052854,0.22653287088088758,0.9227342788223577,-0.11315400276060503,1.0029814003676099,-0.28704780709558375,-0.3985034267301315,-0.19934189665486138,-0.06399887748887133,0.5947376716627855,0.4795070693592608,0.3951832860738025,0.47067077928314194,-0.3756698166015639,0.5006534400329319,0.4940329416966106,0.26506639826272055,-0.27758307820844225,0.10824506816170744,0.8880657717634253,-0.10979257433429065,0.43645921446651237,-0.4447828805547616,0.011716547827748815,0.034870601378824195,0.9704775199187194,0.9106493050706178,-0.15282170732006833,0.10890229026047918,0.4382361338404511,0.2000344488695132,-0.3057669707163868,-0.14565633100458938,-0.1022709719399499,1.1550184829292027,-0.13080545612506783,0.9989053005404601,0.49136480130816773,-0.08502328467495888,-0.10443002081720475,0.29916410609595945
