,HLA-DRB1,IL7,IFITM3,P2RY14,C1S,MT2A,GZMA,CD38,HLA-DQA1,IRF8,HLA-DMA,CD274,IRF4,NOD1,PELI1,GPR18,RSAD2,TRIM25,HERC6,GBP4,FGL2,STAT1,IFIT3,IFIH1,CMTR1,IFI44L,TRAFD1,IFI30,IRF1,STAT2,MX1,SLAMF7,LAP3,SLC25A28,OAS2,JAK2,TXNIP,EPSTI1,HLA-B,HELZ2,OGFR,ICAM1,OAS3,CD74,NFKB1,ST3GAL5,IRF9,TAPBP,TAP1,IFIT1,IRF2,ISG20,DHX58,RBCK1,HLA-G,PSMB8,CCL5,CASP3,APOL6,RNF213,ADAR,SP110,IFIT2,PARP12,DDX60,MX2,EIF2AK2,MYD88,RNF31,PTPN1,MTHFD2,PIM1,PTPN2,IL2RB,PML,UPP1,NLRC5,PARP9,CCRL2,CSF1,TRIM5,UBA7,OAS1,TENT5A,IL21,EOMES,GZMB,IFNG,CCL4,GNLY,IL17F,LAG3
CD1,-0.021808251564190282,-0.11578428367899858,0.2214053814689728,-0.013502438668524255,0.025538043699469194,-0.2278776550801356,-0.3856122526529225,-0.1403812222476377,-0.05142982869883763,-0.14513902317169175,-0.017714589958121404,-0.06305193192528297,-0.08326560666739186,-0.06304539024753271,-0.14001115912227083,-0.0875305523312881,0.011953769788789294,-0.03417171752570395,0.07024963276839465,-0.22598412524344788,0.3185377615504227,-0.2481614179900895,-0.015899196351089193,-0.07288490497821777,0.034211966234247444,-0.023046108411119114,-0.017799701512828846,0.1104003003409013,-0.21429884860980425,0.02262987286974752,-0.04040927513034811,-0.2599002460564954,-0.09036497950945904,0.017356018764894066,0.05854584922097497,-0.09136188321118598,0.033324628041838965,-0.23509160457362097,-0.19926788921322408,-0.049115532188071895,0.02155865273401145,-0.07686892414599314,0.018045605193384523,0.14078706675823585,0.03861486811721547,-0.04602154304850643,-0.1961192819598025,0.06073551993847141,-0.11304930701470577,0.00353459320787989,-0.04881353497887917,-0.11070083394724047,0.05461854184150337,-0.15067132859894045,8.117678115612309e-05,-0.04857707558828831,-0.5172181960060427,-0.12901088203821542,-0.036431653256905616,-0.045034972785269294,0.033731942598407,-0.057028448112045146,-0.019739715441315475,-0.04081545648255752,0.009664816335279202,0.12255758576948139,0.047468339054275194,0.0865592736818068,-0.013665802510200817,0.037650864304504955,-0.0687106914262996,0.03182502993484885,-0.071510932540269,-0.01091720602215809,0.023985452188236726,-0.07657158091166906,0.038006643321234546,-0.05710586958572159,-0.04271186476307732,-0.08368685542929184,0.02228450087250777,0.02670242328390429,-0.0860817347949639,0.0403069756783265,-0.09951871731957641,-0.05712925879977937,-0.1561054485237935,-0.1373846666729916,-0.2190164295352363,0.07371111563849443,-0.09925267462028275,-0.37218106742842666
CD2,1.4168536896349129,-0.019836476932626246,0.1326121604664428,-0.010681705444429162,0.05666153308679,-0.20107454542909153,0.09279623714667885,-0.2116490441423954,0.4424190953800483,0.010514293462250024,0.04825218256719102,-0.004486387083497751,0.05561051421627122,0.028112454774165217,-0.05903714807235823,-0.041820102203314495,-0.13023520879045747,0.06122472797188548,-0.0919784752713846,-0.25391353957664065,-0.06302324219217707,-0.29822358648379343,0.041903454979925925,0.09647285476885492,-0.04428366847108598,-0.14009975495789564,-0.04240438000148291,-0.09219617443985456,0.07584927145142766,-0.042890021782580015,-0.13084542331254936,0.10078968560831894,-0.04416321280142781,0.017441507147556948,0.008621836866803291,-0.040715763831044485,0.13929954667686714,-0.2906738866323263,-0.2271496265547742,0.04434249173209327,0.0185017656321063,0.0593697375661708,-0.07268643768058917,0.01000050237628735,0.4698984395210021,0.04446086690793285,-0.12763291339325053,-0.11520915197132936,-0.04732037016527789,0.0838869505306915,-0.08244973809821189,0.07657732409176225,-0.00019118874882388193,0.05498306100745886,0.030933327959722274,-0.13262492214588212,-0.13146999484292118,0.008735188859471847,-0.08587420532230036,0.01308487572251039,0.02129114923726652,-0.010787228416398214,0.02084243682280648,-0.11962177684222135,-0.04591524639958109,-0.020459083776822626,0.008410042709807927,0.0774726865166062,0.00133712917048123,-0.023875584528776816,-0.0062008226758028745,-0.08538534925981221,-0.036804309795546074,0.0680219259523651,0.03234298940233122,0.005380616626820264,-0.0034128139139793017,-0.07481086719033786,0.009886095989609909,0.03269728534762134,0.01504885344786308,0.07587803583729441,-0.07775454033518174,-0.12068353201583591,0.00018558467379506838,0.009142270076746142,-0.12541669138879544,0.050359000432086465,-0.27394825149193375,-0.11826666963266365,-0.08884937155216197,-0.13570283905496927
CD3,0.15279252502822097,0.1063487363572614,-0.15060883965531202,-0.07193162528006707,0.014054339720134165,0.4230424102587758,-0.18632434024704203,-0.050847394141130556,-0.02264026656378589,-0.1292030954160278,0.10092157744581395,0.021420117061694798,-0.07574353537065064,-0.024365390302137472,0.048143492435752534,-0.06822501519535534,-0.04115423106936782,0.06357686823908157,0.01838667408379006,-0.13501419421553743,-0.07786094721831827,-0.01285794467679836,-0.12656285935258277,-0.03194918042508027,0.04946765495549648,-0.22217434004952988,0.04471911342029617,-0.0671164036327344,0.10491408601366346,0.03982235507836572,0.01746301411930566,0.07932883288615238,0.05918736405876001,-0.0001057062674997168,-0.056606072820241986,-0.04229354904038579,0.6244254521185956,0.03680581226789656,-0.33576944542171633,-0.024552425612544015,0.035160747491537664,-0.06828350090325487,-0.047668049919893256,-0.24283011921232187,-0.059622457684989076,-0.08884055732401579,-0.10821368863309146,-0.1166961863505341,-0.18480339977155916,0.028188375421858095,0.05302096201426856,0.07061964518488888,-0.02428125253510431,-0.02215748602154333,0.03073978320190428,-0.19183840285970333,0.030326434313105714,0.11917256282604988,0.06377481967685865,0.1562311201948909,-0.002272703192122988,0.029463155808971395,-0.012756009562447351,-0.05889240922952604,0.0027518279867175407,0.2534939404323136,-0.05230824740086508,-0.05742731673632836,-0.013261337804984494,0.10340175018006482,0.0918123478146176,-0.043155476551789675,0.06309343707080739,-0.13435927659739014,-0.01857566096473523,0.03752375759905092,-0.0741122345947764,-0.1198892521986842,-0.07243334624755454,-0.07288370794600285,-0.06194419712421656,-0.024455538274948608,-0.11331589927470016,-0.07370880868377053,-0.08386654090688037,-0.019659584043634527,-0.14301384770410466,-0.02421499871348761,-0.27485422393754644,0.018000200443614663,-0.08909078014919516,-0.2168547847282794
CD4,0.16233854187683538,0.03672513077505457,-0.0731419128562817,-0.09739745885168591,0.11826905145903834,0.661637050059573,0.08105132866337825,-0.07509150040617546,-0.005604799084466879,-0.11505128236405344,0.4147146931416809,0.008501122756164867,-0.07185879989574391,0.02069581632200731,-0.002257513712158983,-0.042440991486542234,-0.10655688703609377,0.11103297369808308,-0.00032966218339268276,-0.11547833579333672,-0.04795651873172046,-0.14502149467979936,-0.11228563259058619,-0.12771337341259034,0.08808584853374525,-0.17050861210442023,0.0232495406800957,-0.015020238962796634,-0.014270280701078698,0.07589398501750136,-0.02759653890946135,-0.12997048944319145,0.0037258835964630766,0.05809136599802213,0.02661589233994817,0.02076983060895592,0.593518026779976,0.056653805305609636,0.21860907365414953,0.030196740410175865,0.1008272352891741,0.0976825977276282,0.006839257294665179,-0.2556393315947693,-0.17401379381581913,-0.04543965830846153,-0.10854962958200096,0.029196951379093436,0.059448432575862166,0.0430417366482674,0.08417744890106514,-0.032895453114547814,-0.08197613931108658,-0.08996184984487623,-0.05869172232311854,0.002601505525008548,-0.048563900387924894,0.10790844936650447,0.12516144036298796,0.19709315137093278,-0.049402741347621605,-0.011773767619885696,0.021490772055078596,-0.029706035162116746,-0.046485628378024606,0.024419639633455698,-0.03293518698538592,-0.002430874930971528,0.081406870951058,0.042799750258228256,0.030482922850797813,0.1035840080017442,0.00857512921124966,-0.002145908958278742,-0.0019358100613278584,0.029962107807932396,0.1006056782403191,0.030084002066634932,-0.14245553155835694,0.024850801692427184,0.028312835980699853,0.025058581813504382,0.019877053963424145,0.05607345077306901,-0.03648941917557337,0.16030587279691394,-0.06899765688703402,0.00046502366041348096,-0.12379140605469145,0.15744889552249156,0.036708951806561266,-0.07824560636671445
CD5,0.17976100625265465,0.011046645161266163,0.38146595950952084,-0.07978688297818207,0.0884203157245923,0.3223625026462795,-0.17231587009803165,-0.015989974663695002,-0.05654957617033794,-0.07324468791299624,-0.050409643990819306,-0.036545960239550625,-0.1850147084370305,-0.051343946846088694,0.0007582157240555528,-0.07349123125451223,-0.097596319483439,0.1242921343145497,-0.005697196958237411,-0.3001332275105302,-0.1056302094239678,-0.3189530367110614,-0.09301994417305724,-0.04270593853810988,0.05303912652012223,-0.21737892205286677,0.0721858295889389,-0.02367710206647574,0.030629789584707242,0.11504323109745686,0.019210822523280904,0.04907083161093382,0.03076983396007912,-0.009113603174834863,0.026377418477149753,-0.08426375602424489,0.2736953449889936,-0.2761729866064656,-1.4534529639308142,0.01747633215861091,-0.015365840485462915,-0.01379624174898707,-0.09071243183288887,-0.3570588766319545,-0.11981024186798865,0.06586847675240086,-0.2649867070131379,-0.04596917903067068,-0.13806681925900055,0.07594865657564033,0.1628694584377227,-0.1388023400772841,-0.06170822029690555,-0.10040286991900059,0.03946925820633604,-0.17376972793170967,0.06353976229654383,-0.010994177187844179,0.07795484673518428,0.23453962067710338,-0.012931667446238587,0.05312050866134515,-0.027873971425259707,0.018559761183885963,-0.020653407495115263,0.0315539301407296,-0.05524588834185997,0.023444205415542145,-0.08915791116402569,0.04663550519429913,-0.06812636567212431,-0.033335899219898685,-0.0913288695910706,-0.046974485792409065,0.036899094981945865,0.009811515177100974,0.08791595415529564,-0.12090206234344332,-0.08022958171398178,-0.03236902345681234,-0.017975667657564996,-0.03950718368952628,-0.14765591459788746,0.008752487247205036,-0.07704712419037937,0.02988415562011701,-0.14580127966535583,-0.04780946862772183,-0.29689908127818176,-0.1266421655415309,-0.10882729109979,-0.2697582946906235
CD6,0.01885417449006591,0.5609381372516116,0.731097268910287,0.5620811170786556,0.07950564682682784,0.9321056097279637,0.9904892677370477,0.9450407618671793,0.10139590170509429,0.0696043988756417,-6.162862134722088e-05,0.3209053192475397,0.4797645858817347,0.07926317677436433,0.6710469301804601,0.3329519848455032,0.2669837561930046,0.11995656083485948,0.19378129484398482,0.7141676995986721,0.041717688136645774,0.4015540808572909,0.33078251714091966,0.18046491200590078,0.07505287507885255,0.39700681993245185,0.3167324740153148,0.10358901133828155,0.8737152665915928,0.27946540803070147,0.3882023960989472,-0.2324373543989347,0.38368305890619964,0.11896789257307645,0.16601141717028908,0.13487644612563693,0.09212435124317908,0.6233014165159639,0.1980290813691055,0.062478171510293036,0.22322214639936014,0.218020260950199,0.15260623882458985,0.46600972957205694,0.27689280852209064,0.24012346435881252,0.6240133312057743,0.2852857647719001,0.3673894739803568,0.1574271705693693,0.3396498160976588,0.556200373438948,0.1176962620458007,0.3665008415352339,0.02118482357979321,0.36783407152544373,-0.5242111396777803,0.20447219974800138,0.309241921547581,0.3774103564466752,0.16546051854233207,0.2757401112702757,0.0939141501168039,0.18527986253462175,0.21903429938362107,0.1016595017379357,0.17380725638025754,0.21690522160199785,0.12036559205681717,0.3055988808187026,0.5720773841858198,0.6951454234609796,0.3624417253807255,0.4910463279662444,0.07747076170306226,0.4562943814613679,0.10635701433752588,0.537878872553592,0.11582090777573907,0.849084363894009,-0.04637493581246789,-0.008646993045641009,0.4250710540649912,0.1461140384070223,0.6907767507379136,0.07211144249911733,1.532775484078897,0.33855327403823504,-0.0347635058392318,0.2871033891049112,0.355063148942002,1.0908825644898617
CD7,0.13817399979125577,0.023845184712434773,-0.050302096393641894,-0.023180563677513158,0.0030812143627158657,0.7012287171547331,0.7777856538944625,0.1308670118377178,-0.04810752037614249,0.16904096161333737,0.013378899758074585,-0.04070834542003209,0.18811300724698704,0.2029789934746786,-0.11006456074252226,0.28354990582210315,0.18452286656546088,0.0254357051175807,0.051597498251535326,0.2778167503404464,0.2521773924196644,0.42889074790535264,0.22597397047359138,0.08498050046314615,0.07043565561894251,0.7159292398878166,0.16376161060137462,0.0981135777922477,0.3340517008999188,0.1507407561478771,0.1339045350427828,0.710994245068511,0.14654670800543335,0.003875052682236293,0.15961038364610233,0.12413408534763733,0.037398328754553886,0.17272765751321867,0.365842479998656,0.04958678193264185,0.13435873233205595,0.06974012713830732,0.10340263557583672,0.0748345749898778,-0.1004945679464224,0.37205680058233115,0.3033306999619776,0.3425686639540661,0.13977270286894983,0.0030764254825996337,0.43559435224051496,-0.13558110066716583,0.07083120813795397,0.13664731056393992,-0.03194589338259113,0.1972041658336538,0.2654733445497615,0.11109404089832486,0.24320941386763315,0.418696982265586,0.19437671494744063,0.14962042429911562,0.27509148126285315,0.09375209943139073,0.22441481561545965,-0.06586878901072314,0.17641602229688835,0.11148974241289662,0.16515656732839934,0.311398309964448,-0.08578595324301154,0.07821427656854177,0.05858459277745102,0.09067697521276717,0.09842789217572138,-0.014755022582749248,0.0775676627301873,0.19105266420337072,0.210164712462832,-0.14480721481693679,0.10265514520481368,0.04240929252829421,0.31576063333009696,0.03298812240316762,0.010083369077491787,-0.004677769561728434,-0.1341608010382817,0.21398737823976952,0.36207258792244124,-0.09553230832811406,0.008315026409741202,0.163916680763708
CD8,-0.11589261775802413,-0.052158487846789,-0.15103450759691434,-0.019830463556414303,-0.008777114766636517,-0.30717156484122726,0.10343695690136216,0.1704481313528206,-0.07004358764087251,0.25439908772585546,-0.005800380153630113,-0.020400709876939142,0.1639213495928074,0.0585923335982435,-0.0452064670026896,0.02490395892154561,0.06544052981060416,-0.035557757315622766,-0.01792245015860022,0.2947719644728428,-0.07224532914676768,0.38084623465452677,0.08289574020645471,0.07912044211435337,0.0038861166257464514,0.06655526269451854,-0.008468663807156428,0.012370472539801308,0.12252770437862671,0.0034286365526438605,0.10135279748814054,0.2694910331399252,-0.042060052167224526,0.031187598300545762,0.03157555123486418,0.06275944829310669,0.15359267029766846,0.2305509334947101,1.0618369794628382,0.05549477901340523,0.13835677862580165,-0.002204383072656849,-0.005892804992173169,0.42157549725163873,0.06879401286771343,-0.007576000293675216,0.2638386797810766,0.14741590137811614,0.16215853550249093,-0.07197553376636212,0.008337927275125537,0.15837410849543657,-0.017646171059269144,0.06627824221449401,0.06131671911240735,0.22289939076377605,0.6392756221515442,0.09219175855738831,0.03741550958762534,0.08492953344517457,0.060092901977164916,0.02282531403320213,-0.011606723475722787,0.05139844119663307,0.020273844900137464,0.02372439986411004,0.036994866695274284,0.003935499705763659,0.05023722702483826,-0.06812911563402844,0.010284282937931443,-0.19993362568645145,0.04332342060555319,0.14209411660182591,0.019967781064475297,-0.01014729503448033,-0.020537084518836044,0.017219997817552377,0.12311507971858715,-0.022185391568888723,0.12568618604711895,0.05033230252449952,0.036889533599939024,0.1632045982711255,-0.05801191341233069,0.0298766657046645,-0.039224407086811984,-0.019534226238663566,0.9954042464444884,-0.012191793104897614,-0.07106755511287773,0.41174547802610956
CD9,0.02040221622081361,0.013238260451395522,0.02704029536437237,-0.014486023364610095,-0.029734116182922016,-0.3422931903350227,0.5988234420550064,0.0602340495251155,0.07054402689101222,0.31473279354780975,0.34237360788042515,0.09734560140685393,0.07603654175956881,0.15815332832790024,-0.13054562857413182,0.12781528733611025,0.09925440148392027,0.03550613846952674,0.048377079793296335,0.39035316050652247,-0.0011967037815159565,0.662579684843155,0.1358633124310425,0.10194359440646841,0.08071862850981211,0.268513787442174,0.08203885977596617,0.12035857978265045,0.18587981235417655,-0.028793683388389772,0.04863311468726124,0.051683919213077405,-0.0024589177606333876,0.06523047069704618,0.09884637473774613,0.08418879986557795,0.14566621623873174,0.06394885355437484,1.1299196083828968,0.07178173136636265,0.06847617481742264,0.1288263612067225,0.03948758952901311,0.614537423611913,0.07638426503344178,0.1701593623818624,0.36167944750073855,0.11544932193819633,0.3829710394431409,0.06122629916080438,-0.035912729764092544,-0.03321213377168468,0.049471674586984676,0.14503096827222897,0.03304189684796169,0.2554124994922036,-0.004065421714677292,0.10417265729374138,0.10616561173391945,-0.019100474187755977,0.09017366747762492,0.10834118937382116,0.042644028319237484,0.022172523167716972,0.07522303100834904,-0.05279898523271943,0.07811876878850156,0.10916532424457709,0.11154313397230801,0.003721742362107067,0.13211978463601062,0.021695351818123945,-0.055292154443169636,0.17383139658343022,0.03672286890797046,-0.019887790953481248,0.14453962426109326,0.23504247559558095,0.15414534621593165,0.09230999649895225,0.05304712844853505,0.09853611591016949,0.20688906482778033,0.06146804512552902,0.11982741497712363,-0.05535772564688583,0.15868480233498597,-0.028329803236461816,0.283711434095198,-0.12243803001882336,0.13220658439766966,0.24245561878351035
CD10,-0.10203370604571914,-0.066500440958462,0.14729519678439035,0.21149773519012993,-0.045226765243156074,-0.3024218755013488,-0.07916954669434043,0.26299408617621717,-0.07004358764087251,0.02474993134976802,-0.041330033804262103,0.03234833252669895,0.21519999404041432,0.05303950242037035,0.3243416061604191,0.15166507441290233,0.07857551045566147,0.019985041888654773,0.1555255535563776,0.4246194091355135,0.17562686241170225,0.884090237656669,0.09589818617042277,0.1455265916594576,0.0762213669520249,0.3172229436728226,0.1285735923748212,0.09028451631966061,0.25184696213018065,0.10937020352185305,0.058685739700674,-0.06550361402580518,0.03350436785490185,0.06284670280618938,0.15829287564103728,0.10737324621785861,-0.20762341220553274,0.4264125169538491,1.2112051046826098,0.04417798845025395,0.14652821785342124,0.1231513992201391,0.13789837517087417,0.626534930637516,0.21074363644307567,0.10407296067063913,0.45567438167573543,0.416782394789878,0.6017047715373417,-0.053066113338537245,-0.02367088795355731,0.16345013642187672,0.0965123640518539,0.23020765524402984,0.005708683222444038,0.42297400491415654,0.08451253364161619,0.07937073775933787,0.14199794262137921,0.16614250081002876,0.2047519135682995,0.13250981840354226,0.10505750980006444,0.04848475674070656,0.11348249178526836,0.09850625762864204,0.01093491456559424,0.1069878639251116,0.02090422021076909,-0.047924610129547546,0.1947790491155187,0.1327059004974585,0.16817370688324856,0.22662962610427825,0.16805079456526262,-0.04848142532781702,0.3595140735187282,0.38813543181660953,-0.0006350643678324565,-0.04550034099003754,0.07512455253809355,0.23825506069353314,0.05915478895933754,-0.03468027240769122,0.060654901078748116,-0.04795908257699459,0.107889193857956,-0.10916730113196856,-0.17755542586943843,-0.05354448828714692,-0.03852695034437305,0.3661099942099972
